epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.3359375,0.6650965809822083,,
0,99,0.65625,0.573697030544281,,
0,149,0.8046875,0.4741407632827759,,
0,199,0.8046875,0.45886021852493286,,
0,249,0.96875,0.4369555413722992,,
0,299,0.984375,0.27637022733688354,,
0,342,,,0.9513519406318665,0.22161000967025757
1,349,0.9609375,0.22886395454406738,,
1,399,0.953125,0.17765644192695618,,
1,449,0.9453125,0.18766850233078003,,
1,499,0.9765625,0.12921971082687378,,
1,549,0.953125,0.11334767192602158,,
1,599,0.96875,0.08952366560697556,,
1,649,0.921875,0.17050136625766754,,
1,685,,,0.9681711792945862,0.09766482561826706
2,699,0.9453125,0.13327930867671967,,
2,749,0.96875,0.07079856842756271,,
2,799,0.96875,0.0692264586687088,,
2,849,0.984375,0.060171160846948624,,
2,899,0.9921875,0.05156305432319641,,
2,949,0.9921875,0.033807434141635895,,
2,999,0.9921875,0.0407167449593544,,
2,1028,,,0.9753034114837646,0.04781293869018555
3,1049,0.9765625,0.05054936930537224,,
3,1099,1.0,0.02968566119670868,,
3,1149,0.984375,0.04372941330075264,,
3,1199,0.984375,0.029102569445967674,,
3,1249,1.0,0.03406425938010216,,
3,1299,1.0,0.02499648928642273,,
3,1349,0.9921875,0.019889138638973236,,
3,1371,,,0.9941452145576477,0.02388004958629608
4,1399,1.0,0.03341962769627571,,
4,1449,0.9921875,0.039394013583660126,,
4,1499,0.9921875,0.01864580437541008,,
4,1549,1.0,0.011835557408630848,,
4,1599,0.9921875,0.029101181775331497,,
4,1649,0.984375,0.02458764612674713,,
4,1699,1.0,0.019035430625081062,,
4,1714,,,0.9965935945510864,0.015450753271579742
5,1749,0.9921875,0.01889636367559433,,
5,1799,1.0,0.011237070895731449,,
5,1849,0.9921875,0.01642462983727455,,
5,1899,1.0,0.014129308983683586,,
5,1949,1.0,0.009837137535214424,,
5,1999,1.0,0.020769281312823296,,
5,2049,0.9921875,0.009761669673025608,,
5,2057,,,0.9982967972755432,0.011915547773241997
6,2099,1.0,0.002659870544448495,,
6,2149,1.0,0.009850427508354187,,
6,2199,1.0,0.01451292634010315,,
6,2249,1.0,0.004967383574694395,,
6,2299,1.0,0.01555776409804821,,
6,2349,1.0,0.007276591844856739,,
6,2399,1.0,0.012914535589516163,,
6,2400,,,0.9986161589622498,0.00910729356110096
